"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS","PLAN","GBI_LVL_YR","GBI_MON","TAX_RATE","HH_HOURS1","HH_HOURS2","HH_HOURS3","HH_HOURS4","HH_HOURS5","HH_HOURS6","HH_HOURS7","HH_HOURS8","HH_HOURS9","HH_HOURS10","HH_HOURS11","HH_WAGE1","HH_WAGE2","HH_WAGE3","HH_WAGE4","HH_WAGE5","HH_WAGE6","HH_WAGE7","HH_WAGE8","HH_WAGE9","HH_WAGE10","HH_WAGE11","HH_WAGE0","HH_HOURS0","PAYMENT1","PAYMENT2","PAYMENT3","PAYMENT4","PAYMENT5","PAYMENT6","PAYMENT7","PAYMENT8","PAYMENT9","PAYMENT10","PAYMENT11"
"32",2269,"Winnipeg",1,1,25310,NA,0,"Canadian",NA,NA,NA,0,NA,225,6000,1,3800,316.666666666667,0.35,1006,452,382,532,412,699,578,488,648,518,0,462,540,540,563,563,656,656,656,722,765,0,NA,NA,154.966666666667,127.666666666667,127.666666666667,119.616666666667,119.616666666667,87.0666666666667,87.0666666666667,87.0666666666667,63.9666666666667,48.9166666666667,316.666666666667
"33",2275,"Winnipeg",7,9,4207,400,0,NA,"Canadian",10.5175,NA,NA,NA,0,49,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0
"34",2277,"Winnipeg",4,2,3960,800,0,"English","Ukrainian",4.95,NA,0,NA,0,2500,2,4800,400,0.35,728,60,442,442,256,426,293,821,991,306,633,471,475,500,296,669,280,280,719,688,315,654,308.333333333333,66.6666666666667,235.15,233.75,225,296.4,165.85,302,302,148.35,159.2,289.75,171.1
"35",2293,"Winnipeg",7,4,732,NA,0,"Ukrainian","German",NA,NA,50,NA,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2315,"Winnipeg",6,2,7408,970,0,"Ukrainian","Ukrainian",7.63711340206186,NA,300,NA,0,1638,2,4800,400,0.35,2106,397,0,50,327,799,467,616,703,259,859,425,475,475,396,420,580,580,580,580,580,580,741.333333333333,80.8333333333333,251.25,233.75,233.75,261.4,253,197,197,197,197,197,197
"37",2319,"Winnipeg",1,5,8638,NA,0,NA,NA,NA,NA,0,NA,300,1000,5,5800,483.333333333333,0.5,225,0,0,0,88,0,0,0,0,0,0,265,0,0,0,170,0,0,0,0,0,0,NA,NA,350.833333333333,483.333333333333,483.333333333333,483.333333333333,398.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333
"38",2346,"Winnipeg",4,2,11265,NA,0,NA,"French",NA,27000,NA,NA,0,1575,2,4800,400,0.35,1510,390,649,577,253,737,605,308,900,488,824,250,291,289,288,309,309,350,379,393,393,431,NA,NA,312.5,298.15,298.85,299.2,291.85,291.85,277.5,267.35,262.45,262.45,249.15
"39",2368,"Winnipeg",1,5,4107,NA,0,NA,NA,NA,NA,0,NA,0,0,5,5800,483.333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333
"40",2383,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2392,"Winnipeg",8,4,4978,NA,0,NA,NA,NA,NA,150,NA,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2435,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2447,"Winnipeg",6,7,3404,NA,0,NA,NA,NA,NA,0,NA,0,0,7,4800,400,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,400,400,400,400,400,400,400,400,400,400,400
"44",2527,"Winnipeg",5,7,10209,800,0,"Canadian",NA,12.76125,25000,1600,NA,9000,0,7,4800,400,0.75,1066,443,688,504,456,256,569,520,528,596,688,375,425,675,396,500,500,525,540,583,583,583,0,66.6666666666667,118.75,81.25,0,103,25,25,6.25,0,0,0,0
"45",2534,"Winnipeg",6,8,25782,800,0,"English","Canadian",32.2275,17500,3000,26000,1600,5600,8,5800,483.333333333333,0.75,1018,77,517,672,573,438,0,0,0,0,0,651,505,486,462,462,0,0,0,0,0,0,1005.08333333333,66.6666666666667,0,104.583333333333,118.833333333333,136.833333333333,136.833333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333
"46",2645,"Winnipeg",5,9,9214,NA,0,NA,NA,NA,30000,400,NA,5800,0,9,0,0,0,1434,450,598,616,888,484,492,632,640,641,1055,375,397,397,447,470,470,470,520,537,537,625,433.333333333333,NA,0,0,0,0,0,0,0,0,0,0,0
