"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS"
"162",6023,"Winnipeg",3,2,9058,565,0,NA,NA,16.0318584070796,NA,0,NA,0,2650
"163",6027,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"164",6088,"Winnipeg",1,4,8182,NA,0,NA,"German",NA,NA,0,NA,NA,300
"165",6116,"Winnipeg",6,5,7589,760,0,"German","German",9.98552631578947,25500,2410,NA,1000,2529
"166",6164,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"167",6309,"Winnipeg",8,8,7487,675,0,"Canadian","Canadian",11.0918518518519,16000,4100,NA,1500,850
"168",6333,"Winnipeg",1,9,6118,NA,0,NA,NA,NA,NA,1200,NA,0,0
"169",6352,"Winnipeg",3,4,5384,800,0,"Metis","Polish",6.73,NA,0,NA,0,1230
"170",6440,"Winnipeg",2,2,10157,NA,0,NA,"English",NA,NA,0,NA,1000,1050
"171",6453,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"172",6456,"Winnipeg",5,8,6278,400,0,"Ukrainian","Canadian",15.695,NA,0,NA,0,NA
"173",6457,"Winnipeg",6,6,6686,800,0,"Ukrainian","English",8.3575,NA,460,NA,0,1950
"174",6459,"Winnipeg",6,9,2655,NA,0,NA,"English",NA,NA,0,NA,0,60
"175",6496,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"176",6508,"Winnipeg",5,3,3132,NA,0,NA,"Canadian",NA,NA,0,NA,20,0
"177",6544,"Winnipeg",3,4,7403,NA,0,NA,NA,NA,20000,2800,NA,NA,1206
"178",6589,"Winnipeg",5,9,1723,NA,1,NA,"Native Indian non-band",NA,NA,0,NA,0,0
"179",6618,"Winnipeg",4,2,8448,700,0,"English","English",12.0685714285714,28000,200,NA,3300,0
"180",6619,"Winnipeg",1,3,10706,NA,0,NA,"French",NA,NA,0,NA,1000,600
"181",6629,"Winnipeg",1,2,5694,NA,0,NA,NA,NA,NA,0,NA,3,1080
"182",6643,"Winnipeg",3,8,9485,NA,0,NA,NA,NA,NA,0,NA,NA,685
"183",6647,"Winnipeg",3,1,7904,800,0,"French","English",9.88,NA,800,NA,0,3000
